epsilon,bo_iters,eta,samples,error
0.5,100,3.5834491828460817,38.39319385470063,0.10332295974775807
0.5,100,2.627269038738281,28.808059930362067,0.10526315789473684
0.4,100,3.4203345666319285,30.86484604470971,0.1179479713118794
0.4,100,3.7568323827917935,30.14562632051938,0.12077310511445072
0.3,100,3.3813401862544232,30.304770708638234,0.13577546895183354
0.3,100,3.3757027128028185,23.179961796357368,0.13743977178111733
0.2,100,5.0,33.074066921884416,0.15384615384615385
0.2,100,4.069450148914447,31.241185810646662,0.1617665124278285
0.1,150,3.3636021296689638,9.086347219707408,0.2283229597477581
0.1,100,3.5304857886050685,11.863236644930186,0.2207731051144507
